episode,algo,status,reason,steps,total_reward,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
1,dqn,timeout,max_steps,700,-91.91539497506952,0.4497218293242402,0.030465425716686402,0.11999999731779099,0.5760042400301638,161,0.8913646781742579
2,dqn,timeout,max_steps,700,-51.190948803998424,0.35277327389828783,0.06126400989827184,0.1357618272304535,0.8572008814611677,166,0.919031993860912
3,dqn,timeout,max_steps,700,-49.43932223265507,0.520615013997568,0.010752612366409012,0.13574393093585968,1.4019741965748285,159,0.8802978240074825
4,dqn,success,goal_reached,334,251.0146473914975,0.2983131080024183,0.15147236860379062,0.11999999731779099,0.36182015057729583,170,0.9411657697444598
5,dqn,success,goal_reached,356,316.29764927508563,0.28589736283549755,0.016240215030168814,0.11999999731779099,1.6143003676598522,169,0.9356323416602522
6,dqn,timeout,max_steps,700,-48.855998742900894,0.5137283165578587,0.0058031280558463435,0.13764341175556183,1.9206577664002702,159,0.8802978240074825
7,dqn,collision,dynamic_dist_0.36,105,-432.3904516808312,2.6310697412659416,0.23030803591748905,0.14024753868579865,0.3592652122781641,69,0.3822871116545959
8,dqn,success,goal_reached,371,304.65402890296343,0.29982190870153197,0.10891861357146389,0.11999999731779099,0.7533454433446276,169,0.9356323416602522
9,dqn,success,goal_reached,349,398.1244109610778,0.29680674659082507,0.012109306451753387,0.11999999731779099,2.909980677292108,169,0.9356323416602522
10,dqn,timeout,max_steps,700,-50.71611041473001,0.527134721921213,0.02246825755638282,0.13248570263385773,1.9024987026827982,159,0.8802978240074825
11,dqn,success,goal_reached,377,455.27831327167763,0.2981142317057503,0.022819858181102992,0.13828372955322266,0.7166437146533781,169,0.9356323416602522
12,dqn,success,goal_reached,408,464.9879326770101,0.2791721854763079,0.009497017616441929,0.13634225726127625,3.072495071473498,169,0.9356323416602522
13,dqn,timeout,max_steps,700,-21.583191514556,0.5186330708916804,0.017990695790484807,0.1340845823287964,1.9437557590982681,159,0.8802978240074825
14,dqn,success,goal_reached,386,257.45902385113357,0.28976321843040675,0.0972848956429876,0.11999999731779099,0.3917514752688809,169,0.9356323416602522
15,dqn,timeout,max_steps,700,-44.46498841274635,0.3847001660630418,0.05101347301648203,0.13663963973522186,2.2958722855000917,164,0.9079650635341188
16,dqn,success,goal_reached,521,414.50408215303656,0.2950687432481886,0.03377669434420184,0.13245250284671783,0.575993933450889,169,0.9356323416602522
17,dqn,success,goal_reached,328,439.469109069296,0.2984955678908844,0.020062888794974497,0.13611014187335968,1.015708648855326,168,0.9300988835070252
18,dqn,timeout,max_steps,700,-36.40898889339793,0.3190209133042211,0.019904616002481647,0.1342501938343048,2.305361989128603,168,0.9300988835070252
19,dqn,success,goal_reached,334,375.75625667560627,0.2987920729288021,0.16971234326259352,0.11999999731779099,0.5969572083760395,171,0.9466992461728638
20,dqn,collision,dynamic_dist_0.35,70,-414.0775056647785,2.9674803611354665,0.2491503441973508,0.12997952103614807,0.3490930931803655,41,0.22735046651130075
