episode,algo,status,reason,steps,total_reward,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
1,ppo,collision,dynamic_dist_0.33,31,-405.5625136094799,3.4756088135548477,0.01926502058531688,0.1408742219209671,0.33184638682984907,25,0.13881520724591048
2,ppo,success,goal_reached,324,103.5314067963248,0.2889816254055531,0.2533220444945681,0.11999999731779099,0.43020534422038803,173,0.9577661257907867
3,ppo,collision,stuck_blocked,154,-457.2022279991161,1.6317731220301108,0.3603181565255825,0.11999999731779099,2.2216908244216778,110,0.6091586465788736
4,ppo,collision,stuck_blocked,334,-662.7360143536287,0.5187864326667151,0.5187864326667151,0.11999999731779099,0.7249689466315948,179,1.0
5,ppo,collision,stuck_blocked,419,-833.3610964220828,1.3866473483566288,0.38052566595006654,0.11999999731779099,1.4288864991643133,122,0.6755600903626163
6,ppo,collision,stuck_blocked,222,-425.4298088939816,0.6633650895355367,0.633582665335877,0.11999999731779099,0.7108887491921025,170,0.9411657697444598
7,ppo,collision,dynamic_dist_0.36,30,-403.08925305970644,3.493109968271562,0.005960013525939603,0.13882413506507874,0.35841864090431225,24,0.1332817700309217
8,ppo,success,goal_reached,345,135.9969960341066,0.28960371443611566,0.25581308151835297,0.11999999731779099,0.42680154057681974,173,0.9577661257907867
9,ppo,collision,stuck_blocked,230,-448.3520648697514,0.5240475306837731,0.523251204149301,0.11999999731779099,0.5840772270429495,178,0.9955509132511937
10,ppo,success,goal_reached,284,244.1570078052547,0.2876058663020207,0.26955344671353754,0.11999999731779099,1.1513152293133257,174,0.9632995888573579
11,ppo,collision,stuck_blocked,158,-457.3548484805236,1.5725192561083932,0.3097273409281752,0.11999999731779099,1.5344980324033664,113,0.6257590124966231
12,ppo,success,goal_reached,275,298.5973563173893,0.29121564245195575,0.29121564245195575,0.11999999731779099,0.57870165364104,179,1.0
13,ppo,success,goal_reached,324,158.8171269311056,0.2979111911738771,0.27217913369252406,0.11999999731779099,0.6378062677532061,173,0.9577661257907867
14,ppo,success,goal_reached,282,269.15963616595263,0.2972005093331121,0.24138310014233816,0.11999999731779099,0.6611527634280167,172,0.9522326872330041
15,ppo,collision,stuck_blocked,157,-462.8168896739751,1.6054374868142387,0.34129287083604254,0.11999999731779099,1.3132284922805992,111,0.614692095914586
16,ppo,collision,stuck_blocked,158,-457.4375162693723,1.5782901590050864,0.31714138813913567,0.11999999731779099,3.334235535715062,112,0.6202255493599976
17,ppo,collision,stuck_blocked,160,-458.16809945081536,1.564282789611768,0.3014676280266322,0.11999999731779099,2.1549350272601466,113,0.6257590124966231
18,ppo,collision,stuck_blocked,332,-681.8709252919685,0.5312380355819174,0.5312380355819174,0.11999999731779099,1.3377123701386289,179,1.0
19,ppo,success,goal_reached,276,312.3739557961417,0.28789087279418035,0.28789087279418035,0.11999999731779099,0.6285874699369862,179,1.0
20,ppo,collision,stuck_blocked,223,-465.44848955274324,0.6802034889397229,0.6339382510596446,0.11999999731779099,0.46606601622393234,169,0.9356323416602522
