episode,algo,status,reason,steps,total_reward,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
1,qlearning,success,goal_reached,410,188.11817801255557,0.2914020398841031,0.021941797080467965,0.11999999731779099,0.4816994772843891,169,0.9356323416602522
2,qlearning,collision,stuck_blocked,601,-513.207663742103,0.846025017738209,0.2897873919773017,0.11999999731779099,2.1159362695863675,145,0.8028294738480535
3,qlearning,collision,stuck_blocked,296,-611.007200753197,2.0936579733209553,0.45785327096762984,0.11999999731779099,0.927484622090052,77,0.42655471398411104
4,qlearning,collision,dynamic_dist_0.33,60,-403.5020168393184,3.3033441363181564,0.29986297938895123,0.14272627234458923,0.3279724995449939,43,0.23841735417368812
5,qlearning,timeout,max_steps,700,-329.80579892005284,0.8101058417317202,0.22168519982386886,0.11999999731779099,0.3655148905743894,146,0.8083628969424294
6,qlearning,collision,stuck_blocked,490,-1046.3104884882516,1.5704386058035507,0.2900541886369021,0.11999999731779099,1.1013999656109954,113,0.6257590124966231
7,qlearning,collision,stuck_blocked,286,-632.9685511650407,2.1107569561221378,0.46681639638172057,0.11999999731779099,0.9228846806593062,77,0.42655471398411104
8,qlearning,collision,dynamic_dist_0.35,106,-446.8392083078895,3.3701377037993683,0.18001607854281165,0.13682949542999268,0.35276212630828546,26,0.14434867926311765
9,qlearning,timeout,max_steps,700,-499.56476911403684,1.5212518366875383,0.1287866079590707,0.11999999731779099,0.5078235166627076,115,0.6368259169221935
10,qlearning,collision,stuck_blocked,256,-586.4706708316994,2.3205681043717736,0.44507792307143046,0.11999999731779099,0.91222166508635,70,0.38782057879297055
11,qlearning,timeout,max_steps,700,-950.9016662403725,1.8253096865707852,0.16686626298360588,0.11999999731779099,0.8780743803754454,107,0.5925582715097888
12,qlearning,collision,dynamic_dist_0.35,325,-522.0258223577066,2.875887027795078,1.1503022361633768,0.1331474930047989,0.3548149416405623,93,0.5150899627816493
13,qlearning,timeout,max_steps,700,-624.1224918193016,1.7848028186633877,0.23702724117900772,0.11999999731779099,0.7421213965061844,103,0.5704244897781042
14,qlearning,collision,stuck_blocked,278,-501.40252823392694,1.8909009773456387,0.5261844710533584,0.11999999731779099,1.1902709347278688,98,0.5427572353766716
15,qlearning,off_path,cte_1.26,524,-906.7894174247409,2.5161729453063666,1.2647857387275756,0.11999999731779099,0.36163588200362506,59,0.326952597912491
16,qlearning,timeout,max_steps,700,-781.8283002978001,3.392987862336352,1.116384105077865,0.11999999731779099,0.913267094494503,75,0.4154878444165696
17,qlearning,collision,stuck_blocked,370,-760.1704480670778,1.5887201188342377,0.2742205019575311,0.11999999731779099,1.5771989300861595,112,0.6202255493599976
18,qlearning,collision,dynamic_dist_0.34,398,-810.3759034252655,3.4292663182452774,0.5940555667568633,0.13751640915870667,0.3383258180428058,45,0.24948424177810863
19,qlearning,collision,stuck_blocked,177,-556.9269942613015,3.6248575107039875,0.6552459654681806,0.11999999731779099,0.7620419801633739,41,0.22735046651130075
20,qlearning,timeout,max_steps,700,-741.8308260913025,1.6842854533295744,0.23445169019156964,0.14060012996196747,2.270017749447609,107,0.5925582715097888
