episode,status,reason,steps,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
1,collision,stuck_blocked,236,1.987874211782294,0.4480955930224473,0.11999999731779099,1.4893730323391012,82,0.45422200180431654
2,collision,stuck_blocked,245,2.3696525557617085,0.7306460613350124,0.11999999731779099,2.7222174432548543,65,0.36015331649888127
3,collision,stuck_blocked,402,0.6789293204390597,0.6517304986152864,0.11999999731779099,1.809681070403171,177,0.9798999468216139
4,collision,stuck_blocked,163,3.613450689640379,0.6806318197481588,0.11999999731779099,0.6455654804775558,42,0.23288391895726931
5,collision,dynamic_dist_0.36,107,2.912804499833386,0.4191882733283549,0.14022576808929443,0.35683217571384823,39,0.21628353335819409
6,off_path,cte_1.26,209,4.211820206138956,1.2568184096575927,0.11999999731779099,0.612068026174032,24,0.1332817700309217
7,collision,stuck_blocked,167,3.5756506994213058,0.6914306739812807,0.11999999731779099,1.8127775131243447,43,0.23841735417368812
8,collision,stuck_blocked,371,3.6519142517823644,0.9357475764570388,0.11999999731779099,2.8562556532533887,52,0.2882184274634338
9,off_path,cte_1.27,216,3.1127748525888106,1.269092084789482,0.1373673528432846,2.875027655989279,91,0.5040230760871632
10,collision,dynamic_dist_0.35,183,3.0927659579796836,0.5597135412415689,0.11999999731779099,0.3527963354409376,52,0.2882184274634338
11,collision,stuck_blocked,178,3.9616892172941847,1.0287293245129907,0.11999999731779099,0.8171212199275044,28,0.1554155912061265
12,off_path,cte_1.25,143,4.445369565779096,1.2512649756965495,0.134171724319458,1.208461767211692,17,0.09454759843608003
13,off_path,cte_1.26,154,4.5419245677865066,1.2594815852621923,0.12984326481819153,1.0280297049079723,17,0.09454759843608003
14,collision,stuck_blocked,160,3.856602320244242,0.7469193074300634,0.11999999731779099,1.1369345256937886,26,0.14434867926311765
15,collision,stuck_blocked,240,1.5588632565615315,0.30227912989215283,0.11999999731779099,2.6113508852234224,113,0.6257590124966231
16,off_path,cte_1.26,304,4.831526021943173,1.2610011961027119,0.11999999731779099,1.918759409409479,15,0.0834806880909703
17,collision,stuck_blocked,250,2.0780290839743185,0.46910903400638326,0.11999999731779099,0.8906487706159162,78,0.4320882030809829
18,collision,stuck_blocked,170,3.965163962782258,1.0171714356977377,0.11999999731779099,0.7315257604742119,28,0.1554155912061265
19,off_path,cte_1.25,267,3.8095233011941643,1.2513226834949904,0.11999999731779099,0.6702991768198202,48,0.26608463821180883
20,collision,stuck_blocked,205,2.0077269991318483,0.4609813482037409,0.11999999731779099,0.40413830498978887,81,0.44868852785522495
21,off_path,cte_1.25,288,2.6588385260428784,1.2510547641563328,0.14042271673679352,2.1128683234427155,99,0.5482906716907741
22,collision,stuck_blocked,265,2.371922218462148,0.7103795832767714,0.11999999731779099,2.290088617682509,65,0.36015331649888127
23,off_path,cte_1.25,249,2.328167082553997,1.250601636672282,0.142414852976799,0.55287779213793,66,0.36568677681590156
24,collision,stuck_blocked,180,3.550861775419824,0.7174743626294533,0.11999999731779099,0.4244109555963294,44,0.24395080276215284
25,collision,stuck_blocked,243,1.7938659121720313,0.4415323204208043,0.11999999731779099,0.4415163112774797,91,0.5040230760871632
26,collision,dynamic_dist_0.35,105,2.988950621076667,0.030573406844443464,0.13423728942871094,0.34564785180693264,48,0.26608463821180883
27,off_path,cte_1.27,423,2.774314078597723,1.265376470493136,0.11999999731779099,0.3614191923685734,97,0.537223802078462
28,collision,dynamic_dist_0.36,124,3.0036030997138328,0.9489391576904534,0.1430613249540329,0.3592781235525156,32,0.17754936344232986
29,collision,dynamic_dist_0.35,95,2.987132181289904,0.4891812326100488,0.13593053817749023,0.3483043064992245,38,0.21075008395142072
30,collision,stuck_blocked,197,2.1552562784280913,0.45293340561541523,0.11999999731779099,0.4844895714535488,75,0.4154878444165696
31,off_path,cte_1.26,140,4.55849846197504,1.2603843322688242,0.11999999731779099,1.816934603764425,17,0.09454759843608003
32,off_path,cte_1.26,196,3.6602736697177916,1.2636828974769454,0.11999999731779099,0.3686739310439206,50,0.2771515408148179
33,off_path,cte_1.26,157,3.250195169455633,1.2553140965319918,0.12977227568626404,0.7643248827727069,1,0.006012353917912963
